"customer_id","recency_days","frequency","monetary","churn_status"
"12526.0",0,3,1316.66,"Active"
"14702.0",0,29,6754.22,"Active"
"13404.0",0,2,252.49,"Active"
"17554.0",0,5,1952.45,"Active"
"17644.0",0,20,6028.60,"Active"
"14796.0",0,27,10889.64,"Active"
"16705.0",0,42,43515.05,"Active"
"13077.0",0,11,3064.67,"Active"
"15796.0",0,17,5175.83,"Active"
"17428.0",0,45,31819.76,"Active"
"14730.0",0,8,2005.06,"Active"
"15311.0",0,208,116771.16,"Active"
"17001.0",0,19,6640.80,"Active"
"17668.0",0,2,347.75,"Active"
"13318.0",0,3,640.76,"Active"
"17491.0",0,17,5981.07,"Active"
"16446.0",0,2,168472.50,"Active"
"13599.0",0,33,10167.63,"Active"
"17490.0",0,9,2750.50,"Active"
"16688.0",0,4,1260.86,"Active"
"15189.0",0,46,17524.38,"Active"
"12985.0",0,2,1239.38,"Active"
"13426.0",0,22,8167.38,"Active"
"16626.0",0,17,4413.10,"Active"
"17528.0",0,8,3628.50,"Active"
"14422.0",0,19,10271.52,"Active"
"12680.0",0,4,880.81,"Active"
"13026.0",0,9,1733.08,"Active"
"14653.0",0,12,3614.54,"Active"
"15910.0",0,15,2681.80,"Active"
"15694.0",0,24,10810.81,"Active"
"18102.0",0,145,608821.65,"Active"
"14911.0",0,398,295972.63,"Active"
"17754.0",0,13,4577.53,"Active"
"16933.0",0,9,3181.25,"Active"
"16322.0",0,2,326.75,"Active"
"12662.0",0,20,6988.02,"Active"
"12423.0",0,10,2622.39,"Active"
"17389.0",0,61,57224.68,"Active"
"16794.0",0,15,2090.91,"Active"
"12955.0",0,11,4757.16,"Active"
"16358.0",0,5,2919.65,"Active"
"12433.0",0,10,20581.26,"Active"
"14621.0",0,9,3000.57,"Active"
"17581.0",0,43,18757.75,"Active"
"17364.0",0,28,12070.42,"Active"
"12748.0",0,336,56599.39,"Active"
"13098.0",0,28,28882.44,"Active"
"13102.0",0,37,11696.92,"Active"
"17243.0",0,69,20889.86,"Active"
"14441.0",0,11,4611.69,"Active"
"16401.0",0,23,6849.15,"Active"
"15156.0",0,3,961.49,"Active"
"13298.0",0,1,360.00,"Active"
"13536.0",0,7,3448.29,"Active"
"17949.0",0,118,118628.08,"Active"
"16954.0",0,20,6081.88,"Active"
"14446.0",0,5,1241.31,"Active"
"13890.0",0,14,2927.38,"Active"
"14606.0",0,192,30861.06,"Active"
"13521.0",0,3,1093.65,"Active"
"15484.0",0,6,4656.00,"Active"
"12713.0",0,1,848.55,"Active"
"15399.0",0,3,815.77,"Active"
"13510.0",0,11,4558.29,"Active"
"13860.0",0,5,1245.90,"Active"
"13777.0",0,61,56478.42,"Active"
"13113.0",0,37,18625.73,"Active"
"17451.0",0,7,1721.40,"Active"
"16833.0",0,6,2409.04,"Active"
"13269.0",0,28,8891.70,"Active"
"17757.0",0,56,9422.45,"Active"
"15804.0",0,13,4206.39,"Active"
"16558.0",0,38,13873.51,"Active"
"16892.0",0,7,762.10,"Active"
"15898.0",0,25,5596.31,"Active"
"14056.0",0,23,8214.65,"Active"
"13263.0",0,39,8704.69,"Active"
"14569.0",0,4,598.98,"Active"
"17530.0",0,12,3141.51,"Active"
"14415.0",0,23,12091.60,"Active"
"17405.0",0,3,1031.41,"Active"
"13013.0",0,29,12625.77,"Active"
"13069.0",0,38,9683.13,"Active"
"14051.0",0,37,22434.00,"Active"
"12518.0",0,5,2056.89,"Active"
"17144.0",0,2,984.57,"Active"
"17675.0",0,70,38259.60,"Active"
"15344.0",0,3,563.94,"Active"
"13798.0",0,110,75836.87,"Active"
"15208.0",0,6,970.52,"Active"
"13471.0",0,4,2531.58,"Active"
"13680.0",0,12,11435.67,"Active"
"17434.0",1,7,2373.82,"Active"
"16523.0",1,28,11916.33,"Active"
"14135.0",1,24,9643.92,"Active"
"12615.0",1,8,5740.98,"Active"
"12437.0",1,39,12683.40,"Active"
"16368.0",1,3,640.21,"Active"
