"customer_id","recency_days","frequency","monetary","r_score","f_score","m_score","rfm_score","segment"
"15633.0",508,13,4352.46,4,4,4,12,"Champions"
"14025.0",464,8,4057.90,4,4,4,12,"Champions"
"14134.0",382,15,11123.35,4,4,4,12,"Champions"
"17032.0",547,8,3004.60,4,4,4,12,"Champions"
"13446.0",429,11,3881.89,4,4,4,12,"Champions"
"16335.0",551,7,2774.00,4,4,4,12,"Champions"
"12986.0",428,10,2729.84,4,4,4,12,"Champions"
"15015.0",500,13,2365.02,4,4,4,12,"Champions"
"14648.0",415,15,4546.86,4,4,4,12,"Champions"
"14249.0",410,12,5625.46,4,4,4,12,"Champions"
"17465.0",425,7,2542.79,4,4,4,12,"Champions"
"12835.0",427,41,6043.31,4,4,4,12,"Champions"
"15369.0",491,11,6251.26,4,4,4,12,"Champions"
"12482.0",575,29,23691.40,4,4,4,12,"Champions"
"14590.0",424,20,3006.62,4,4,4,12,"Champions"
"17241.0",384,12,2744.14,4,4,4,12,"Champions"
"13958.0",379,8,4709.23,4,4,4,12,"Champions"
"14063.0",437,9,22710.20,4,4,4,12,"Champions"
"14160.0",609,7,8421.47,4,4,4,12,"Champions"
"14685.0",575,8,4619.79,4,4,4,12,"Champions"
"13206.0",399,13,8377.32,4,4,4,12,"Champions"
"17307.0",394,11,3999.89,4,4,4,12,"Champions"
"17448.0",496,46,14556.97,4,4,4,12,"Champions"
"16125.0",366,14,4587.65,3,4,4,11,"Champions"
"15817.0",420,3,2766.40,4,3,4,11,"Champions"
"13554.0",379,7,1638.28,4,4,3,11,"Champions"
"14496.0",311,7,2668.23,3,4,4,11,"Champions"
"14399.0",393,8,2113.16,4,4,3,11,"Champions"
"17138.0",275,7,4417.27,3,4,4,11,"Champions"
"16045.0",119,8,3434.93,3,4,4,11,"Champions"
"12806.0",434,4,2878.96,4,3,4,11,"Champions"
"12980.0",157,21,16245.78,3,4,4,11,"Champions"
"13085.0",157,8,2433.28,3,4,4,11,"Champions"
"15596.0",100,9,3130.04,3,4,4,11,"Champions"
"15812.0",106,12,5201.47,3,4,4,11,"Champions"
"14465.0",246,11,3946.03,3,4,4,11,"Champions"
"14154.0",238,8,6460.70,3,4,4,11,"Champions"
"13082.0",125,21,7335.75,3,4,4,11,"Champions"
"16065.0",364,8,2382.62,3,4,4,11,"Champions"
"16499.0",359,8,2578.34,3,4,4,11,"Champions"
"13162.0",121,16,9275.49,3,4,4,11,"Champions"
"14828.0",196,13,9839.46,3,4,4,11,"Champions"
"13031.0",406,5,3419.27,4,3,4,11,"Champions"
"16180.0",99,13,16249.87,3,4,4,11,"Champions"
"14855.0",118,7,6520.30,3,4,4,11,"Champions"
"17230.0",263,18,9924.95,3,4,4,11,"Champions"
"16919.0",155,24,5125.91,3,4,4,11,"Champions"
"17588.0",99,7,2939.55,3,4,4,11,"Champions"
"12978.0",384,5,2502.82,4,3,4,11,"Champions"
"13648.0",399,8,1764.02,4,4,3,11,"Champions"
"13291.0",155,11,3320.84,3,4,4,11,"Champions"
"17732.0",372,8,2470.39,3,4,4,11,"Champions"
